FeedbackID,Satisfaction Level,Feedback,Follow-up Required,Customer Location ,Ticket ID
3473,8,Explain ground make power.,No,Latvia,9493
16619,4,Center before group among.,No,Bermuda,16576
16311,5,Life factor book paper.,No,Sudan,13104
1117,4,Laugh out sound face.,Yes,Puerto Rico,12275
8960,8,Standard five our knowledge.,No,Australia,15761
10932,2,Mind eat daughter.,No,British Indian Ocean Territory (Chagos Archipelago),14020
8954,5,Rise beyond join perhaps.,No,Cocos (Keeling) Islands,560
7070,9,Page lay center.,No,Switzerland,12051
19992,9,Ability quickly crime wife.,No,Brazil,9028
9017,5,Realize easy you doctor.,No,El Salvador,14081
10670,5,Consider others wall time.,No,Bulgaria,2592
9295,6,Information despite loss.,Yes,Tuvalu,4235
16049,5,Future explain skill carry.,No,Armenia,6668
11620,2,Final list station quickly.,No,Indonesia,1780
13012,3,Own star drug heart.,Yes,Guyana,6176
11889,4,Cost feel indicate team.,Yes,Reunion,7373
6108,6,Explain near common learn.,No,French Southern Territories,3720
7356,8,Education story goal that.,No,Zambia,7465
3692,1,Create exist else drive.,No,Bahrain,17895
3881,9,Ok use hand discover base.,No,Iceland,18931
15943,5,Admit full middle this.,No,Saint Pierre and Miquelon,4074
10629,6,Weight soon they know color.,No,Sierra Leone,1921
4232,6,Unit one not chair ten.,No,Faroe Islands,823
8338,8,Dog card perform happy top.,Yes,Bulgaria,2736
11488,1,Should dark dog leave.,No,Jersey,9563
15889,3,Standard argue away face.,Yes,Holy See (Vatican City State),12157
18087,2,Our player represent him.,No,Cameroon,936
10960,9,Put knowledge receive form.,No,Costa Rica,9300
16836,5,Watch body meeting.,No,China,11560
16778,9,Land person carry.,No,Burkina Faso,12437
1490,7,Situation rise such local.,No,Tanzania,3484
12217,1,I somebody piece area.,Yes,Cote d'Ivoire,19490
16717,9,Special resource nation.,No,Saint Helena,11388
18784,8,Song enter seek strategy.,No,Cyprus,11513
16397,4,Hundred thing single present.,No,Kyrgyz Republic,989
19922,5,After mind career.,No,Puerto Rico,920
14742,7,Lose store that art industry.,No,United Arab Emirates,17300
18841,4,Left rest room political.,Yes,Estonia,16977
15173,3,Late store drive.,No,Russian Federation,9153
10977,5,Wall wear concern change.,No,Saint Helena,2916
4958,5,More account agency concern.,Yes,Niger,10634
8602,3,Free ready require tough.,No,Macao,17348
6980,3,Admit ago happy pattern.,No,Sierra Leone,19392
16277,9,Across price western.,No,Antigua and Barbuda,2480
5158,7,Better Congress his.,Yes,Guatemala,13478
8863,7,Difficult stop seek.,No,Sweden,779
12124,3,Wide letter so tell space.,No,Hungary,11831
5973,6,Run his soon.,Yes,Palestinian Territory,11000
8355,4,Control history price side.,Yes,Japan,12478
12170,6,Story after police.,No,Panama,1539
6347,8,Wish during ahead.,Yes,Togo,13258
8633,6,Else forget information.,Yes,Brunei Darussalam,2850
14867,4,Create bring imagine.,No,Belarus,4731
5129,2,Pick arrive parent forget.,No,Australia,11749
4478,5,Kid employee arm.,No,Venezuela,5225
2394,2,Hand chair chance.,Yes,Cook Islands,16562
18550,5,Car happen I.,No,Vietnam,18264
10665,4,Well before American early.,No,Ghana,7769
1559,1,Someone per style.,No,Eritrea,9607
5701,1,Police road seem.,No,Antigua and Barbuda,13732
19522,1,Leg where rule voice.,Yes,Denmark,10169
545,1,Here since north again.,No,Turkmenistan,479
5765,7,Play radio scientist realize.,No,Panama,12960
11408,5,Wrong drive next site.,No,Lao People's Democratic Republic,18776
19829,9,Song say film blue offer.,No,Malta,3504
9727,8,Over place inside five.,No,Malaysia,3303
12866,2,Meet picture million.,No,Somalia,19776
9583,7,Thus road eight ok.,No,Peru,10060
8726,6,Result out break success.,No,Russian Federation,19848
9853,1,Join arm smile.,No,Mauritania,11158
8271,6,Less field star whom.,No,Dominican Republic,17632
4725,3,Sit little staff dog.,No,Sweden,15238
18652,6,Whole skill official ability.,No,Cameroon,7049
14311,7,Anything cause some down.,No,Macao,957
12356,4,Star final art word.,No,Isle of Man,16061
1014,2,Mother accept woman.,No,United States Virgin Islands,17370
3039,6,Money season moment fire.,No,Guernsey,19142
4344,6,Operation exactly white true.,No,Kazakhstan,9613
12864,4,Grow land most show.,Yes,Iran,3815
4241,2,Tough free step let enter.,No,Greece,2726
3519,7,We tend future town likely.,No,Argentina,12957
17983,3,Method could right.,No,Albania,3817
12894,8,Early fill full bit home win.,No,Turkmenistan,13571
2055,7,Structure much clear cut.,No,Anguilla,18480
13591,3,Blood travel ready.,No,Faroe Islands,7523
5200,4,Son second side to get.,No,Togo,18423
12081,5,One whose theory enough keep.,No,Netherlands,6345
4686,1,Wide choose available far.,Yes,Western Sahara,13920
9360,5,Follow under peace easy them.,No,South Georgia and the South Sandwich Islands,18958
11370,7,Position own dinner article.,No,Guinea-Bissau,4371
2986,7,Move nor marriage now.,No,Norway,12019
4969,9,Movement open also measure.,Yes,Saint Lucia,19453
19523,2,Throughout situation season.,Yes,Namibia,16355
18697,1,Thank score color.,No,Guam,6372
7091,5,Thank until forward size.,No,Mexico,2942
8568,5,Smile letter decide chair.,No,Senegal,12672
18358,3,Tv hold interesting.,No,Portugal,15301
9756,7,Whose study some however not.,No,Croatia,3470
657,7,Ahead wear avoid at.,No,Malawi,180
6485,2,Five describe nice scientist.,Yes,Aruba,8914
4364,5,Stock carry kind week.,No,Cameroon,13351
1714,4,World history system number.,No,Micronesia,3803
4542,2,Field science about know.,No,Italy,9828
15363,7,Win station long.,No,Guinea,18457
8087,4,Response group firm summer.,No,Botswana,15608
15566,8,Occur whose budget clear.,No,Cote d'Ivoire,2660
9066,9,Concern order town his could.,Yes,Antigua and Barbuda,7551
7508,3,As job sister send discover.,No,Dominica,10591
13014,4,Pass paper consumer.,No,Djibouti,6969
11862,3,Game realize change rich.,No,Uzbekistan,16478
5762,2,Live how model board.,Yes,Bahamas,8473
6873,2,Age cell gun tend.,No,Christmas Island,10270
13156,6,Baby him song low believe.,No,Mayotte,13978
930,1,Left happen land finally.,No,North Macedonia,19613
15216,7,Skin off quite those red gun.,Yes,Palau,2007
3526,7,Ball ok about kitchen cut so.,Yes,Cuba,13173
12700,4,Computer six high.,No,Angola,7318
5079,8,Another fish sell.,No,Nauru,1786
3258,5,Increase game space yet well.,Yes,Bolivia,9799
18277,8,Your enter ability sea.,No,Congo,18158
19625,9,Outside agreement play arm.,No,Nicaragua,12044
12245,2,Sense know rock however.,No,Micronesia,3919
18213,3,Sure blue a care she.,Yes,Cook Islands,16268
1343,1,Live chance gun work.,Yes,South Africa,18919
9931,2,Voice use able party.,No,Cyprus,16117
4200,7,Better computer give young.,Yes,Guernsey,19889
14078,8,Off right assume dark strong.,No,Brunei Darussalam,5907
1683,6,Ask up allow.,No,Philippines,12461
3406,6,Opportunity give various.,No,Saint Lucia,10117
754,8,Admit notice way test.,No,Indonesia,9834
7750,5,Color make discover above.,Yes,Togo,12887
6574,8,Near score manager marriage.,No,Kuwait,18327
959,2,General thing drop near gas.,No,Cocos (Keeling) Islands,9370
7903,8,Bring ok product under.,No,Dominican Republic,17731
12461,7,Data human senior write.,No,Sri Lanka,4974
16213,9,Seek turn rule race.,Yes,Norfolk Island,15029
1078,1,Open simple scene sign.,No,North Macedonia,12996
14009,6,Force what possible only.,No,Heard Island and McDonald Islands,5889
18894,6,Along cell change.,No,Malawi,4184
4444,7,Degree with oil anything.,Yes,Mexico,16861
13408,5,Here again short whole.,No,Djibouti,175
5842,1,Avoid specific wonder.,Yes,Luxembourg,17752
4788,5,Crime section home.,No,Panama,18649
6200,1,Room card measure subject.,No,Argentina,13834
230,5,First statement adult.,No,Algeria,15672
13257,4,Large season work move among.,No,Cameroon,16349
12992,3,Compare enter girl easy task.,Yes,Chad,17891
16599,9,Arrive inside million.,No,Lithuania,15606
18912,9,Political rock loss.,Yes,Angola,18151
7854,6,Not five story.,No,Tanzania,781
6637,9,Ok eat company growth east.,No,Cameroon,10822
11404,2,Grow upon mind city think.,No,Eritrea,1249
651,8,Occur say off down get.,No,Nicaragua,870
1727,6,Organization student main.,No,Djibouti,15764
18505,3,On final reduce.,Yes,Peru,1663
3508,1,Rock fast theory.,Yes,Cyprus,5208
2014,6,Anything sport husband every.,No,Nicaragua,16589
13409,9,Recently various our join.,No,Argentina,16092
16696,5,Water rather agency.,No,Lao People's Democratic Republic,3209
9064,9,Meet radio energy.,Yes,Cote d'Ivoire,1771
16411,7,Bed single city.,Yes,Madagascar,6666
10273,2,Over tree chair visit either.,No,Belize,3375
16304,7,Local since member low view.,Yes,Croatia,13942
19626,1,Hand there less star.,No,United States Minor Outlying Islands,8338
7427,7,Hair exactly help.,No,Comoros,12986
3344,4,Top sign rest like cell.,No,Antarctica (the territory South of 60 deg S),8654
4957,2,Reach cold charge hit rest.,No,Liechtenstein,2540
4812,5,Red result city be.,No,Benin,13531
649,4,Organization wide since once.,No,Macao,8635
1952,8,One thousand him final.,No,Brunei Darussalam,19917
16459,5,Suddenly state chance bed.,Yes,Bolivia,16383
3652,2,Back box most leave maintain.,No,Korea,5356
8821,6,Themselves woman dream break.,No,Chile,9508
3621,9,Wish officer his throw why.,No,Bangladesh,8129
9265,4,Pick affect develop these.,No,Korea,14301
2991,2,Form degree religious though.,No,Montserrat,15762
12261,1,Throw old the.,Yes,Madagascar,13606
5766,6,Your skin loss sign.,No,Madagascar,8101
1394,1,Federal child mean describe.,No,Reunion,5661
8615,6,Social subject staff any.,No,San Marino,899
15557,4,Wear daughter film amount.,No,Gibraltar,13964
19720,7,One week a tree maintain.,No,Togo,17612
18074,4,Wish less also hot.,Yes,Egypt,1018
447,3,Move town shake.,No,Austria,7287
17162,3,Article blood game heavy.,Yes,Cuba,3367
4502,7,Since part office human.,No,Slovakia (Slovak Republic),11438
1864,5,Appear old part.,No,Nicaragua,19887
6526,1,Security recent purpose.,Yes,Trinidad and Tobago,11067
1665,6,Leave likely also shoulder.,No,Sri Lanka,5093
17886,7,Understand ability different.,No,Spain,3002
7584,1,Line without eye much.,No,Jersey,10923
13575,3,Dark traditional hour.,No,Albania,18277
6008,9,Return difference TV sing my.,No,Algeria,18547
13134,1,Evening skill animal process.,Yes,United States of America,11031
15971,6,Upon hair how enter.,No,Falkland Islands (Malvinas),16872
16393,2,Under hit artist think.,No,Jersey,14945
6749,9,Court also along dream.,No,Luxembourg,17483
3849,1,Later own get leader nearly.,No,Zimbabwe,7460
11705,6,Reason east former.,No,Zambia,6496
12377,3,Water mean impact pick.,No,Uganda,2925
5417,6,Second note cold.,No,Mayotte,10138
15777,2,Size training why west.,No,Ethiopia,6276
6432,1,Lawyer free campaign per.,Yes,New Caledonia,699
906,9,Program nation plant.,Yes,Australia,16489
9843,3,Home gun order.,No,Israel,11670
4467,3,Black even before.,No,Honduras,9500
7149,5,Continue tonight sign.,No,Andorra,1759
11461,4,Individual present part.,No,Puerto Rico,16511
15378,6,Car stay detail general.,No,Pakistan,10915
19133,7,Compare his way last.,Yes,Djibouti,761
12581,6,Size meet sound wide young.,Yes,Kenya,1503
421,9,Western wear case computer.,No,Qatar,15328
12345,2,Seem skill business.,Yes,Heard Island and McDonald Islands,6585
6399,6,Various well behind simply.,No,Holy See (Vatican City State),19138
19096,1,Manage south house per.,No,British Indian Ocean Territory (Chagos Archipelago),1490
16264,4,Program trade sign side.,No,Saint Pierre and Miquelon,14637
963,7,Off by to hundred.,Yes,Italy,14625
15610,3,Either consumer news.,No,Albania,10871
9035,6,Buy public population.,No,Faroe Islands,8169
11591,5,Public country hour family.,No,Central African Republic,1453
4142,9,Deal and work idea.,No,United States of America,3362
12263,9,Change perform us adult.,Yes,Timor-Leste,8611
8198,1,Owner street language movie.,Yes,Spain,7771
12681,2,Everyone decision mean foot.,Yes,Swaziland,5393
12825,1,Improve pass job tree after.,No,Lithuania,3212
2292,2,Store full use green go.,No,Eritrea,2772
10542,5,Sometimes report water.,No,Yemen,4034
9972,7,Set bring cell.,No,Slovakia (Slovak Republic),3343
319,3,Especially able big act.,No,Belgium,990
5163,1,See guy well.,No,Maldives,7961
4624,1,Strategy still strong seven.,No,Marshall Islands,14408
5352,6,Keep kind laugh.,No,Lithuania,18031
7819,5,Manager or should.,No,Slovenia,17100
16363,1,Sell mission take.,No,Guinea-Bissau,19091
15767,1,Own per trip month.,No,El Salvador,18937
8558,2,Campaign pull land cup goal.,No,Uzbekistan,3203
8681,5,Back price professor forward.,Yes,Bahamas,19902
13213,1,Either fast condition.,No,South Georgia and the South Sandwich Islands,12288
14417,5,Common stage key.,Yes,Kuwait,16216
7572,5,Modern writer television.,No,Cocos (Keeling) Islands,8050
14619,3,Game conference ground huge.,No,Myanmar,1097
12877,3,Set save discuss sister.,No,Sao Tome and Principe,9344
9394,7,Tax piece method behind pay.,No,Oman,19236
2713,9,Edge long family no.,No,Angola,7182
16899,3,Black scene really through.,No,Somalia,1462
19756,7,Place cover fact act.,Yes,Monaco,6886
10806,7,Our together write threat.,No,Romania,13619
1178,9,Mother certain high prevent.,No,Sri Lanka,10406
8341,7,Home defense happy wide.,No,Norway,5198
10304,1,Because wrong key yourself.,No,Namibia,8336
10669,8,General out decade century.,No,Palau,13449
9842,7,Stop lose cover heart.,Yes,Saint Helena,14259
17307,1,Least perhaps purpose.,No,Kuwait,11758
9777,1,Factor civil bed impact fear.,No,Singapore,15485
19356,9,Affect purpose as item store.,No,Ukraine,4160
18554,4,View grow let.,No,New Caledonia,7956
17441,4,Last nature million.,No,Egypt,6909
8513,9,Hit scene drug worry serve.,No,Russian Federation,19345
14437,2,Reach of may.,No,Korea,11648
4719,7,Type only thought individual.,No,Zambia,12212
5168,4,Trade size why.,Yes,Netherlands,4319
14984,3,Serve road world prepare.,Yes,Togo,14104
15183,6,Alone why heavy learn.,No,Hungary,1674
3124,2,Stay anyone prepare forget.,No,Greenland,22
11449,5,Course coach area pass.,No,Nigeria,16395
17122,2,Recent message six.,No,Oman,4416
17643,8,Actually which food.,No,Pitcairn Islands,16725
10334,4,Before other ask end.,Yes,Norfolk Island,6770
15243,9,Tend true product happy.,No,Belarus,5504
7626,9,Ten glass professor.,No,Eritrea,13054
14626,6,Effort join window water.,Yes,Saint Pierre and Miquelon,15935
6025,7,Nor agreement low wife.,No,Palau,5590
3414,9,Poor record sign to.,Yes,Mauritania,13941
9671,1,Perhaps argue current data.,Yes,South Georgia and the South Sandwich Islands,15499
9968,5,Story enough energy.,No,Burkina Faso,9960
1897,9,Kid protect push produce her.,No,British Virgin Islands,10603
8676,9,Beyond small soon.,No,American Samoa,10829
8645,5,Hot peace identify.,No,Latvia,3299
15916,1,Determine police role.,No,American Samoa,616
14589,3,Kind fine open beat south.,Yes,Moldova,18410
12078,1,They game send.,No,Lithuania,18305
5659,8,When thought much PM network.,Yes,Croatia,18491
6416,1,Suggest bit there not.,No,Serbia,18444
5954,6,Test main data center your.,No,Armenia,9968
17833,9,Four next rest data.,No,United States Virgin Islands,19990
7050,2,Whose when last early.,No,Niger,19782
7238,4,Above enter analysis get.,No,Netherlands,11796
15366,3,Box church system.,No,Turks and Caicos Islands,8579
6623,7,Cause within cost room.,No,Australia,14418
7551,3,Hair four significant.,No,British Indian Ocean Territory (Chagos Archipelago),4225
13557,3,Civil foot security.,No,Cuba,11413
19933,1,Four require rate check.,No,Jamaica,19485
2228,2,Skin how either.,Yes,Anguilla,15834
15598,4,With role trouble son.,No,Gibraltar,5989
13268,6,Base population wife.,No,Chile,9861
15531,6,Sing over bit piece.,No,Chad,8329
8482,6,Value air that factor after.,No,Guadeloupe,5633
6405,7,None use off position.,No,Sierra Leone,8001
9350,5,Report effect practice.,No,Timor-Leste,9597
16594,9,With option meeting.,No,United Arab Emirates,11288
9538,7,Approach go ago he yard.,No,Syrian Arab Republic,16072
16229,5,Child couple stay kitchen.,No,Bolivia,4046
10106,5,Style pattern Mr.,No,Solomon Islands,3439
4668,2,Either person often natural.,No,Serbia,18397
9720,1,Send on artist glass.,Yes,Mayotte,14046
14,8,Charge exist war small.,No,Switzerland,12175
9166,9,Record nice dream professor.,No,Angola,697
11890,9,New south across.,No,Thailand,15782
16439,8,Answer picture wife.,No,Niue,14547
14562,6,Campaign under really.,Yes,Comoros,19346
19465,8,Growth determine general.,No,Philippines,10358
4865,5,Guy on company.,No,Namibia,2961
5225,7,Practice image meeting eye.,Yes,Latvia,5965
7895,7,Expert edge benefit little.,No,Mongolia,7798
11966,7,Event more or cause.,No,Sri Lanka,13594
14755,2,Establish eye accept.,No,Thailand,19491
7082,3,Morning she term government.,No,Papua New Guinea,16940
11770,6,Specific far so country.,No,Zambia,13236
19470,2,Draw I page finish join.,No,Japan,17662
4034,7,Control per much rise act.,No,Mexico,15153
15395,6,Side strong bed.,No,Brunei Darussalam,2447
12506,2,Six provide risk.,No,Colombia,16757
14455,3,Picture region bank full.,No,Holy See (Vatican City State),6406
1315,3,Within whom budget name get.,No,Montenegro,8153
3275,2,Stand great spend.,No,Guinea,18110
11030,9,Drug outside be year.,No,Micronesia,12013
18096,4,Health can go cost.,No,North Macedonia,687
18936,6,Together value anyone land.,No,Botswana,19919
2712,9,Stage child most race.,No,Uzbekistan,11010
19962,7,Bring let politics cup.,No,Mali,11955
5706,2,Student eat camera.,No,Belize,11176
18344,7,Machine issue floor radio.,No,Morocco,7823
6422,2,Unit treat challenge.,Yes,Reunion,2201
2556,9,Little push media quality.,No,Netherlands Antilles,3376
18847,8,Parent little should life.,Yes,South Africa,14538
8354,5,Source game fight world.,No,Malta,19454
17700,5,Real such beat anyone stuff.,No,Micronesia,6005
11036,3,Old dinner dog economy.,No,Central African Republic,9806
17735,3,Black draw question relate.,Yes,Nepal,14238
14744,3,Worker up court almost.,No,Sudan,14474
13312,9,Picture contain recent.,Yes,Montserrat,16595
6271,8,Soldier whose baby somebody.,No,Taiwan,6894
11260,1,Age heavy maybe real.,Yes,Falkland Islands (Malvinas),268
4653,3,Scene baby hour.,No,China,13095
19353,9,Baby dinner top.,Yes,Saint Lucia,9033
3289,9,General than produce enough.,No,Malaysia,11448
16106,3,Activity art resource.,No,Cambodia,4402
9327,1,My town whole sea.,No,Bosnia and Herzegovina,14811
4617,7,Remain them decision such.,No,Isle of Man,16063
9571,8,Why recent fund red join.,No,Libyan Arab Jamahiriya,2860
17521,7,Ball develop also concern.,No,Egypt,681
14438,5,Almost tonight force.,No,Finland,15736
18904,2,Reduce behavior outside hit.,No,Czech Republic,17295
10839,7,That student apply stage.,No,Togo,9795
17259,2,More other manage article.,No,Liechtenstein,4544
12627,3,Event among body want style.,Yes,Eritrea,10257
10527,1,Animal whose week bag.,No,Barbados,18537
16671,2,Hope kind off improve never.,No,Norfolk Island,12735
13918,5,Likely visit affect bar form.,No,Brazil,6605
12768,7,Author seem staff.,No,Norfolk Island,5495
14642,3,Speech law site eat.,No,Svalbard & Jan Mayen Islands,6960
6762,8,Stage beyond owner focus.,No,Solomon Islands,12359
6203,5,Question or than public.,No,Uzbekistan,378
6350,4,Country floor from.,No,Palau,17418
14787,2,Trouble box seem change but.,Yes,Nauru,13431
3471,2,Sea plant but notice course.,No,Cuba,16527
17318,7,Performance study operation.,No,Heard Island and McDonald Islands,5879
3534,6,Policy training compare.,No,Tunisia,2598
19441,1,Budget reduce economy lose.,No,Zimbabwe,4097
3321,9,Against game region.,No,Yemen,4704
12787,1,Side seven add religious.,No,Cook Islands,12566
19005,6,Phone radio main however.,No,Cyprus,9946
1831,8,Throughout yourself large.,Yes,United States Virgin Islands,7995
6535,1,Learn turn be.,No,Tajikistan,411
5507,9,Energy upon paper site.,No,Saudi Arabia,4562
4358,7,Election about ready sea.,No,Moldova,11470
5953,6,Never do say listen.,Yes,Moldova,2145
11138,4,Teacher power ten yet plant.,No,Bahamas,15112
7301,6,Contain must bit number too.,No,Czech Republic,1837
17716,1,Soon anyone lawyer message.,No,Sudan,7522
8028,7,Throughout same chair meet.,Yes,Benin,18904
7597,5,Ask organization well.,No,Turkey,4013
11252,6,Book take myself.,No,Antigua and Barbuda,9063
11441,4,Reflect dream blood stuff.,No,Malawi,3140
10662,3,School ten war road expect.,No,Nigeria,6444
16052,3,Fast bad report cover listen.,No,Maldives,15571
8641,4,Father civil book.,No,Singapore,15146
13317,7,Game window well offer last.,No,Gambia,895
11788,9,Common magazine thus.,Yes,Chile,2837
16846,6,Job board coach.,No,Guernsey,11377
645,6,Forward world might sing.,No,Thailand,8356
12577,5,After fly difficult wall.,No,El Salvador,11483
13110,6,The matter available accept.,No,Lao People's Democratic Republic,15655
17102,2,Card stock natural edge.,Yes,Sao Tome and Principe,14337
10961,8,Despite child weight hotel.,No,Saint Pierre and Miquelon,13337
1747,2,Lay TV yes stage education.,No,Bermuda,9880
5529,4,Keep car response catch.,No,Jersey,52
7988,2,Determine contain build.,No,Micronesia,381
9227,3,Attention throw laugh single.,No,Seychelles,13107
17227,8,Whom thought practice start.,No,Malta,13458
6174,6,Project less prepare father.,No,Honduras,12197
11621,2,Job speak mission leave fund.,No,Croatia,13759
10810,9,Mean staff top occur choose.,Yes,Saint Martin,8915
13265,8,Represent begin million.,No,Wallis and Futuna,9605
15772,9,Quality perhaps least life.,No,Niger,8288
7030,5,By position go run.,Yes,Fiji,6179
17335,5,Second as onto.,No,Guyana,4122
9769,2,Partner low bag born century.,No,Tanzania,2623
19101,6,Argue feel laugh need.,No,San Marino,18806
19613,5,Reveal price sure card.,Yes,Saint Kitts and Nevis,18330
12177,1,Treatment seat in we.,No,Dominican Republic,17456
6588,9,Lead or Republican out think.,No,Sudan,12905
11028,5,Task feeling rather crime.,Yes,Cambodia,6807
16329,3,Major nice stock.,No,Marshall Islands,4088
15751,5,Woman discover forward him.,No,Liechtenstein,6336
6960,2,Safe better wait here.,No,Netherlands Antilles,11322
19176,3,Expect own sense lot.,Yes,Zambia,3134
1375,8,School central million left.,No,Greece,3578
6975,3,Event method thus.,Yes,Morocco,355
573,3,Movement voice drive live.,No,Zambia,10246
19918,5,Audience end four.,No,Latvia,9371
17914,2,Perhaps strong glass class.,No,Antarctica (the territory South of 60 deg S),94
17111,1,At this operation.,No,Seychelles,18361
8945,1,Hit lay as.,Yes,Cocos (Keeling) Islands,9058
4616,1,Continue opportunity seven.,No,Korea,5397
6896,8,Half soon add.,No,Sierra Leone,1966
561,1,Ten into who always.,No,Cayman Islands,2926
8691,1,Professor never win.,No,Australia,12206
19013,1,Theory high success walk all.,Yes,Guatemala,12241
6973,5,Mr outside pretty explain.,No,American Samoa,63
2925,9,Their add collection reflect.,No,North Macedonia,3608
15533,2,Hard art morning throw.,No,Morocco,17130
14647,5,Outside among purpose keep.,No,Australia,6852
2845,9,Eye develop maybe.,Yes,Gibraltar,3098
7698,2,Watch watch employee eat.,No,Suriname,2524
12862,4,Develop others receive.,No,Switzerland,15167
3554,2,Mother some name blue trial.,No,Greenland,6985
1640,7,Mind skin kind well bad.,Yes,Macao,8939
6497,6,Recognize per Republican our.,No,Bahamas,3057
9456,8,Finally hand last.,No,Reunion,16304
18486,9,Without common mind consumer.,No,Togo,18610
1062,5,Program born bag notice.,No,Dominican Republic,8645
18683,7,Son baby minute rule.,Yes,Benin,13969
7708,7,Compare sport tax indeed.,No,Iran,10445
7658,1,Fish pattern travel control.,No,Reunion,13392
18492,1,Senior very million capital.,No,Estonia,4695
6287,9,Too life site wide.,No,France,9451
1649,5,Stand skin best effort.,Yes,Belgium,14034
8428,8,Environmental new couple go.,No,Papua New Guinea,15096
19254,5,Mr here total realize house.,No,Cuba,16115
5989,9,Mr thus understand memory.,No,Tokelau,5304
2219,2,Security task force.,No,Iran,9966
16900,7,Us set authority work.,Yes,Seychelles,7414
15212,4,Oil charge reach grow save.,No,South Georgia and the South Sandwich Islands,7079
15086,5,Only camera alone fly impact.,No,Mauritius,2189
9719,6,Move key nice left.,No,Hong Kong,1976
3110,1,No act safe.,No,Saint Martin,14145
10309,7,Instead system source.,No,Russian Federation,6488
867,9,Scientist fill foreign.,No,Svalbard & Jan Mayen Islands,3920
11495,9,Money behind dream.,No,Pitcairn Islands,13668
14892,3,Rise than establish.,No,Ukraine,5472
3623,9,Hotel foreign best.,No,Hungary,4315
17323,9,Cause add house.,No,Ukraine,16932
11906,3,Image yet far.,No,Burkina Faso,8459
12896,5,Any animal against adult.,Yes,Togo,17509
1293,1,May edge time doctor.,No,Guinea,9853
16286,8,Chair draw card discover.,No,Afghanistan,18189
11887,5,Officer sometimes old.,No,Bouvet Island (Bouvetoya),6318
13259,3,Million probably town he.,Yes,Tunisia,16265
4001,9,Hour second offer.,No,South Georgia and the South Sandwich Islands,4762
16205,4,Baby player officer late.,No,Fiji,6464
9010,7,Leave PM on manager nor.,No,Cocos (Keeling) Islands,8261
4880,4,Across mean Democrat.,No,Antarctica (the territory South of 60 deg S),6829
6268,5,Necessary someone bill bed.,No,Nigeria,11457
